file,ground_truth,baseline_prediction,finetuned_prediction
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003005.wav,tôi có thể xin một danh sách hàng hóa miễn thuế, Tôi có thể xin một tranh sách ở ngoài miền thuế.,tôi có thể xin một tranh sách của ngóa miễn thuế
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010302.wav,anh phú là con độc đinh đời thứ ba, Anh Phú là con độc định đời thứ 3.,anh phú là con độc đinh đời thứ ba
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003061.wav,Phương Trang bác send mail cho em để em nghiên cứu với," Phương Trang, bác xen Mel cho em để em nghiên cứu với.",Phương Trang Park Sen Mel cho em để em nghiên cứu với
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002610.wav,Thành ý của đồ tể De Jong bị từ chối, Thành nhí của đồ tế đe dòng bị tư chối,Thành lý của đồ tế De Jong bị từ chối
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000762.wav,Sau đó Lai bị tuyên phạt mức án chung thân, Sau đó lại bị tiến phát mức Ản trung thân.,Sau đó lại bị tiến phạt mức án chung thân
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006512.wav,Bây giờ tôi thiên về yêu bằng lý trí hơn," Bây giờ, bầu tiên về chiêu tình, về chiêu bằng tỷ trí thôi.",bây giờ tôi thêm về yêu tình về yêu bằng tí trí hơn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000047.wav,anh có dừng tại khách sạn begin không, Anh quay dần tại khách sạn bí gình không?,anh có dừng tại khách sạn begin không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013731.wav,nơi đây còn nổi tiếng với những sản phẩm được chế biến từ dừa như kẹo dừa và hàng thủ công, Nơi đây còn nổi tiếng với những sản trẩm được chế biến từ dừa như kẹo dừa và hàng thủ công.,mây đây còn nổi tiếng với những sản trẩm được chế biến từ giừa như kẹo dừa và hàng thủ công
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012500.wav,ba vũ nuôi rắn ri voi nổi tiếng từ đó, Ta bổ nuôi dánh dì voi nổi tiếng từ đó.,ba vũ nuôi rắn ri voi nũi tiếng từ đó
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000621.wav,cô ấy phục vụ chúng tôi món cà phê rất ngon," Oh, I forgot to turn off the camera.",cô ấy một mình chúng tôi đón chậu kê rất ngon
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011533.wav,Trong sở hữu có đa thành phần đa sở hữu, Trong sở hữu có đa thành phần đa sở hữu.,Trong Sở Hữu có đa thành phần đa sở hữu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002227.wav,lệ mạnh hơn luật như thế tạo ra thói quen thiếu tôn ti trật tự thiếu kỷ luật, Lệ mạnh hơn luật như thế tạo ra thói quen thiếu tôn ti trật tự thiếu kỹ luật.,lệ mạnh hơn luật như thế tạo ra thói quen thiếu tôn ti trật tự thiếu kỷ luật
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010364.wav,Hậu quả anh Sáu bị gãy cổ chết ngay tại chỗ," Hầu quả, anh 6 bị gại cụ chết ngay tại chỗ.",Hậu quả anh Xấu bị gãy cổ chết ngay tại chỗ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008864.wav,đóng cửa vào lúc hai giờ chiều, Đóng cửa vào lúc 2 giờ chiều,đóng cửa vào lúc hai giờ chiều
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006438.wav,Đất già trộn nhiều trấu đất vừa trộn vừa trấu đất non trộn ít trấu, Đất già trộn nhiều khấu. Đất vừa trộn vừa trấu. Đất non trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đất trộn. Đ,Đất già trộn nhiều trấu đất vừa trộm vừa cháu đất non trọm N trống
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010091.wav,vậy tôi gợi ý bạn nên thử anchor inn ở seaside drive, Vậy tôi gợi ý bản nén thử ăn cho ít ở Shiasi Dorae.,vậy tôi gợi ý bạn nên thử ăn cho in ở seattle drive
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013591.wav,toản đã tốt nghiệp đại học mỹ thuật hà nội nhưng vẫn phải bán mỹ phẩm thủ công nhiều tháng nay để đủ tiền chữa bệnh, Toàn đã tốt nghiệp đại học Mỹ thuật hà lội nhưng vẫn phải bán Mỹ phẩm thủ công nhiều tháng nay để đủ tiền chữa bệnh.,toản đã tốt nghiệp đại học mỹ thuật hà nội nhưng vẫn phải bán mỹ phẩm thủ công nhiều tháng nay để đủ tiền chữa bệnh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007754.wav,áo rách lươm bươm, Áo rách lơm bơm,áo rách lơm bơm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005267.wav,Khi phát hiện tăm rùa Hồ Gươm hai thuyền sẽ bắt đầu xuất phát bủa lưới," Khi tải thiện tắm rô hô rớm, hai thư sẽ bắt đầu xuất phạt đồn lưới.",Khi phát hiện tâm rồ hồ gươm hai thường sẽ bắt đầu xuất phát đùa lưới
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005634.wav,bạn của bạn có làn da nhạy cảm hay da thường, Ban của ban có lất giá nhay cảm hay giá thương.,bạn của bạn có lần da nhảy cảm hay da thường
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006360.wav,Tôi sống đơn giản chan hòa với mọi người," Tôi sống đơn giản, chan hoạt với mọi người.",tôi sống đơn giản trang hòa với mọi người
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010159.wav,Nấm hương dùng nước ngâm rửa sạch bỏ cuống sử dụng sau, Nằm hướng dùng ngực ngấm rừa sạch bộ phượng sử dụng sấu.,Nấm hưng dùng ngốc ngấm rửa sạch bỏ cuống sử dụng sâu
