path,sentence
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009214.wav,anh ấy tập trung để giành từng điểm số
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005616.wav,Nghe tiếng kêu cứu quần chúng gọi điện cho công an phường tới
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004682.wav,Hàng ngày sau giờ làm chị lại tự tay đi chợ nấu ăn giặt giũ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007739.wav,Một lần anh nhìn thấy Sandra nhưng lại đi cùng với chị em gái
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004311.wav,thủ tục đề nghị cấp phiếu lý lịch tư pháp
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011008.wav,công nghệ sạch bước hợp tác công nghệ á âu đầu tiên
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004030.wav,tôi nói được một ít tiếng pháp
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013145.wav,vích loài có nguy cơ tuyệt chủng trên toàn cầu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003414.wav,Anh nói tên gì mình nói viện thiến văn anh cười khờ khờ khờ khờ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007906.wav,Vậy là không có cái Garage nào hợp lý cả hả các Bác
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000122.wav,N những chiếc ghe phóng vun vút mái dầm loang loáng rít veo véo xé tung mặt nước
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000246.wav,vui lòng vé B đi a
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007721.wav,Hoàng Điệp đoạt giải Miss Tài năng Cuộc thi Hoa hậu Quốc tế
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008717.wav,chúng tôi lên thuyền ở đâu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010410.wav,Việc Lục Tiểu Phụng Sở Lưu Hương Lý Tầm Hoan
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000310.wav,ti vi giảm tiếng về một
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008780.wav,toàn bộ vỏ đại não là hệ thống liên hợp rộng rãi nhờ đó mà cung thành
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005787.wav,Với cách này ruột bao tử lợn vừa sạch và trắng
